"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL515738";"";"0";"347.44";"0";"4.16";"10";"CC1(C(=O)Nc2nncs2)CC2c3ccccc3C1c1ccccc12";"Ki";"'='";"5.4";"nM";"8.27";"";"";"UO_0000065";"23.80";"0.45";"4.11";"15.06";"0";"CHEMBL1019340";"Displacement of FITC-dexamethasone from human recombinant glucocorticoid receptor alpha by fluorescence polarization assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138590";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL116007";"";"0";"309.38";"1";"5.55";"14";"CC1=CC(C)(C)Nc2ccc3c(c21)C(C)Oc1ccc(F)cc1-3";"Ki";"'='";"749.0";"nM";"6.13";"";"";"UO_0000065";"19.80";"0.36";"0.58";"28.81";"0";"CHEMBL681750";"Displacement of Dexamethasone from human glucocorticoid receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131555";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1998";"None";""
"CHEMBL224204";"";"0";"298.26";"0";"2.77";"10b";"CCN1CCOc2cc3[nH]c(=O)cc(C(F)(F)F)c3cc21";"Ki";"'='";"8100.0";"nM";"5.09";"";"";"UO_0000065";"17.07";"0.33";"2.32";"11.23";"0";"CHEMBL916640";"Displacement of radiolabeled Dexamethasone from human GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139861";"1";"Scientific Literature";"J. Med. Chem.";"2007";"None";""
"CHEMBL391439";"";"0";"372.47";"0";"4.39";"7";"C[C@](c1ccc(F)cc1)(c1c[nH]c2c(NS(C)(=O)=O)cccc12)C1CC1";"Ki";"'='";"387.0";"nM";"6.41";"";"";"UO_0000065";"17.22";"0.34";"2.02";"10.35";"0";"CHEMBL902629";"Binding affinity to human glucocorticoid receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138341";"1";"Scientific Literature";"J. Med. Chem.";"2007";"None";""
"CHEMBL270143";"";"0";"552.72";"1";"4.57";"69";"COCCNC[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCN(S(=O)(=O)c1ccc(C(C)(C)C)cc1)C2";"Ki";"'='";"1.0";"nM";"9.00";"";"";"UO_0000065";"16.28";"0.32";"4.43";"11.77";"0";"CHEMBL950162";"Displacement of [3H]dexamethasone from human recombinant GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142367";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL231298";"";"0";"395.89";"0";"3.69";"29";"O=c1[nH]c(N2CCC(c3ccc(Cl)cc3)CC2)c(Cc2ccccc2)c(=O)[nH]1";"Ki";"'='";"103.0";"nM";"6.99";"";"";"UO_0000065";"17.65";"0.34";"3.30";"10.13";"0";"CHEMBL890428";"Displacement of [3H]dexamethasone from human recombinant GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146208";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL230885";"";"0";"403.53";"0";"3.51";"14";"Cn1c(=O)[nH]c(N2CCC(CCc3ccccc3)CC2)c(Cc2ccccc2)c1=O";"Ki";"'='";"154.0";"nM";"6.81";"";"";"UO_0000065";"16.88";"0.31";"3.30";"11.73";"0";"CHEMBL890428";"Displacement of [3H]dexamethasone from human recombinant GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146208";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL1276308";"MIFEPRISTONE";"4";"429.60";"1";"5.41";"RU-486 (Mifepristone)";"CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C";"Ki";"'='";"0.24";"nM";"9.62";"";"";"UO_0000065";"22.39";"0.41";"4.21";"23.73";"1";"CHEMBL681747";"Displacement of 10 nM [3H]dexamethasone from human Glucocorticoid receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135457";"1";"Scientific Literature";"J. Med. Chem.";"2002";"None";""
"CHEMBL255950";"";"0";"522.69";"1";"4.89";"66";"CN(C)C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCN(S(=O)(=O)c1ccc(C(C)(C)C)cc1)C2";"Ki";"'='";"1.2";"nM";"8.92";"";"";"UO_0000065";"17.07";"0.33";"4.03";"15.26";"0";"CHEMBL950162";"Displacement of [3H]dexamethasone from human recombinant GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142367";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL257204";"";"0";"536.72";"2";"5.33";"62";"CC(C)NC[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCN(S(=O)(=O)c1ccc(C(C)(C)C)cc1)C2";"Ki";"'='";"2.1";"nM";"8.68";"";"";"UO_0000065";"16.17";"0.31";"3.35";"12.91";"0";"CHEMBL950162";"Displacement of [3H]dexamethasone from human recombinant GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142367";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL273143";"";"0";"592.78";"2";"5.44";"56";"CC(C)(C)c1ccc(S(=O)(=O)N2CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@]3(COCCN3CCCC3)C2)cc1";"Ki";"'='";"12.0";"nM";"7.92";"";"";"UO_0000065";"13.36";"0.26";"2.48";"11.71";"0";"CHEMBL950162";"Displacement of [3H]dexamethasone from human recombinant GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142367";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL411852";"";"0";"548.68";"2";"5.26";"55";"CC(C)(C)c1ccc(S(=O)(=O)N2CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@]3(COCCC#N)C2)cc1";"Ki";"'='";"0.8";"nM";"9.10";"";"";"UO_0000065";"16.58";"0.32";"3.84";"10.31";"0";"CHEMBL950162";"Displacement of [3H]dexamethasone from human recombinant GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142367";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL270568";"";"0";"539.67";"1";"4.34";"53";"CC(C)(C)c1ccc(S(=O)(=O)N2CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@]3(COCCO)C2)cc1";"Ki";"'='";"0.8";"nM";"9.10";"";"";"UO_0000065";"16.86";"0.33";"4.76";"10.75";"0";"CHEMBL950162";"Displacement of [3H]dexamethasone from human recombinant GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142367";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL271428";"";"0";"521.54";"1";"4.70";"45";"COC[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCN(S(=O)(=O)c1ccc(C(F)(F)F)cc1)C2";"Ki";"'='";"0.8";"nM";"9.10";"";"";"UO_0000065";"17.44";"0.35";"4.40";"14.12";"0";"CHEMBL950162";"Displacement of [3H]dexamethasone from human recombinant GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142367";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL403666";"";"0";"455.53";"0";"3.98";"11";"CS(=O)(=O)N1CCC2=Cc3c(cnn3-c3ccc(F)cc3)CC2(Cc2ccc(F)cc2)C1";"Ki";"'='";"13.0";"nM";"7.89";"";"";"UO_0000065";"17.31";"0.34";"3.91";"14.29";"0";"CHEMBL950162";"Displacement of [3H]dexamethasone from human recombinant GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142367";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL310370";"";"0";"304.39";"0";"4.11";"1Sb";"O=C1C=C2CCc3cc(O)ccc3[C@@]2(Cc2ccccc2)CC1";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL681747";"Displacement of 10 nM [3H]dexamethasone from human Glucocorticoid receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135457";"1";"Scientific Literature";"J. Med. Chem.";"2002";"None";""
"CHEMBL317578";"";"0";"470.57";"1";"6.51";"12";"COc1cccc2c1-c1ccc3c(c1C(c1cccc(OC(=O)N(C)C)c1)O2)C(C)=CC(C)(C)N3";"Ki";"'='";"2.4";"nM";"8.62";"";"";"UO_0000065";"18.32";"0.34";"2.11";"14.36";"0";"CHEMBL680191";"Displacement of [3H]- Dexamethasone from glucocorticoid receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134574";"1";"Scientific Literature";"J. Med. Chem.";"2001";"None";""
"CHEMBL256161";"";"0";"555.72";"2";"6.57";"3";"CC(C)(C)c1ccc(S(=O)(=O)N2CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@]3(Cc3ccccc3)C2)cc1";"Ki";"'='";"1.4";"nM";"8.85";"";"";"UO_0000065";"15.93";"0.30";"2.28";"16.04";"0";"CHEMBL950162";"Displacement of [3H]dexamethasone from human recombinant GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142367";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL257461";"";"0";"508.62";"1";"3.36";"77";"O=S(=O)(c1ccccc1)N1CCC2=Cc3c(cnn3-c3ccc(F)cc3)C[C@]2(CN2CCOCC2)C1";"Ki";"'='";"0.6";"nM";"9.22";"";"";"UO_0000065";"18.13";"0.35";"5.86";"13.63";"0";"CHEMBL950162";"Displacement of [3H]dexamethasone from human recombinant GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142367";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL475159";"";"0";"346.46";"0";"4.77";"2";"CC1(C(=O)Nc2nccs2)CC2c3ccccc3C1c1ccccc12";"Ki";"'='";"2.9";"nM";"8.54";"";"";"UO_0000065";"24.64";"0.47";"3.77";"20.33";"0";"CHEMBL1019340";"Displacement of FITC-dexamethasone from human recombinant glucocorticoid receptor alpha by fluorescence polarization assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138590";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL3736000";"";"0";"550.56";"1";"4.59";"31";"O=C(c1ccccn1)[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCN(S(=O)(=O)c1ccc(F)c(F)c1)C2";"Ki";"'='";"0.22";"nM";"9.66";"";"";"UO_0000065";"17.54";"0.34";"5.07";"11.34";"1";"CHEMBL3739124";"Binding affinity to human recombinant glucocorticoid receptor by fluorescence polarization assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3734698";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2015";"None";""
"CHEMBL389481";"";"0";"352.36";"0";"3.93";"16d";"CCC1COc2cc3[nH]c(=O)cc(C(F)(F)F)c3cc2N1CC1CC1";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL916640";"Displacement of radiolabeled Dexamethasone from human GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139861";"1";"Scientific Literature";"J. Med. Chem.";"2007";"None";""
"CHEMBL3736379";"";"0";"571.56";"1";"4.66";"11";"O=C(c1ncc[nH]1)[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCN(S(=O)(=O)c1ccc(C(F)(F)F)cc1)C2";"Ki";"'='";"0.47";"nM";"9.33";"";"";"UO_0000065";"16.32";"0.32";"4.67";"9.24";"0";"CHEMBL3739124";"Binding affinity to human recombinant glucocorticoid receptor by fluorescence polarization assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3734698";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2015";"None";""
"CHEMBL3735710";"";"0";"544.61";"1";"4.32";"26";"COc1cccc(S(=O)(=O)N2CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@]3(C(=O)c3ccccn3)C2)c1";"Ki";"'='";"0.19";"nM";"9.72";"";"";"UO_0000065";"17.85";"0.34";"5.40";"10.30";"0";"CHEMBL3739124";"Binding affinity to human recombinant glucocorticoid receptor by fluorescence polarization assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3734698";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2015";"None";""
"CHEMBL257669";"";"0";"439.51";"0";"3.02";"38";"O=S(=O)(c1ccccc1)N1CCC2=Cc3c(cnn3-c3ccc(F)cc3)C[C@]2(CO)C1";"Ki";"'='";"10.0";"nM";"8.00";"";"";"UO_0000065";"18.20";"0.35";"4.98";"10.61";"0";"CHEMBL950162";"Displacement of [3H]dexamethasone from human recombinant GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142367";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL1093625";"";"0";"418.17";"1";"5.46";"17";"C=C1CCC(Br)C(C)(C)[C@H]1Cc1cc(OC)c(Br)cc1O";"Ki";"'='";"2465.0";"nM";"5.61";"";"";"UO_0000065";"13.41";"0.36";"0.15";"19.04";"0";"CHEMBL1106116";"Displacement of [3H]DEX from human glucocorticoid receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156190";"1";"Scientific Literature";"J. Med. Chem.";"2010";"None";""
"CHEMBL53549";"";"0";"353.30";"1";"5.33";"15";"C=C1C[C@H](C)CC(C)(C)[C@@H]1Cc1cc(OC)c(Br)cc1O";"Ki";"'='";"1036.0";"nM";"5.99";"";"";"UO_0000065";"16.94";"0.39";"0.65";"20.31";"0";"CHEMBL1106116";"Displacement of [3H]DEX from human glucocorticoid receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156190";"1";"Scientific Literature";"J. Med. Chem.";"2010";"None";""
"CHEMBL417729";"";"0";"339.27";"1";"5.09";"16";"C=C1CCCC(C)(C)[C@H]1Cc1cc(OC)c(Br)cc1O";"Ki";"'='";"1766.0";"nM";"5.75";"";"";"UO_0000065";"16.96";"0.39";"0.66";"19.53";"0";"CHEMBL1106116";"Displacement of [3H]DEX from human glucocorticoid receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156190";"1";"Scientific Literature";"J. Med. Chem.";"2010";"None";""
"CHEMBL2426109";"";"0";"469.48";"1";"6.00";"3i, more active stereoisomer";"CC(CNC(=O)CC(F)(F)F)[C@@H](c1ccccc1)c1ccc2c(cnn2-c2ccc(F)cc2)c1";"Ki";"'='";"2.4";"nM";"8.62";"";"";"UO_0000065";"18.36";"0.35";"2.62";"18.37";"0";"CHEMBL2428109";"Binding affinity to glucocorticoid receptor (unknown origin) by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2424625";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2013";"None";""
"CHEMBL2426122";"";"0";"415.51";"1";"5.46";"3a";"CC(=O)NCC(C)(C)[C@@H](c1ccccc1)c1ccc2c(cnn2-c2ccc(F)cc2)c1";"Ki";"'='";"2.4";"nM";"8.62";"";"";"UO_0000065";"20.75";"0.38";"3.16";"18.37";"0";"CHEMBL2428109";"Binding affinity to glucocorticoid receptor (unknown origin) by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2424625";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2013";"None";""
"CHEMBL419158";"";"0";"452.38";"1";"7.76";"(-)22";"COc1cccc2c1-c1ccc3c(c1C(c1cc(Cl)cc(Cl)c1)O2)C(C)=CC(C)(C)N3";"Ki";"'='";"7.1";"nM";"8.15";"";"";"UO_0000065";"18.01";"0.36";"0.39";"26.73";"0";"CHEMBL786453";"Binding affinity for glucocorticoid receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134574";"1";"Scientific Literature";"J. Med. Chem.";"2001";"None";""
"CHEMBL2426661";"";"0";"471.56";"1";"5.81";"5c";"CC(C)(C(=O)Nc1nncs1)C(c1ccccc1)c1ccc2c(cnn2-c2ccc(F)cc2)c1";"Ki";"'='";"18.0";"nM";"7.75";"";"";"UO_0000065";"16.42";"0.31";"1.93";"10.65";"0";"CHEMBL2428212";"Binding affinity to glucocorticoid receptor (unknown origin) by fluorescence polarization assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2424628";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2013";"None";""
"CHEMBL227408";"";"0";"366.26";"0";"3.70";"10h";"CC1CN(CC(F)(F)F)c2cc3c(C(F)(F)F)cc(=O)[nH]c3cc2O1";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL916640";"Displacement of radiolabeled Dexamethasone from human GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139861";"1";"Scientific Literature";"J. Med. Chem.";"2007";"None";""
"CHEMBL310180";"";"0";"306.40";"0";"4.19";"9";"O=C1CC[C@@]2(Cc3ccccc3)c3ccc(O)cc3CC[C@@H]2C1";"Ki";"'='";"6.0";"nM";"8.22";"";"";"UO_0000065";"26.83";"0.49";"4.03";"22.04";"0";"CHEMBL1106116";"Displacement of [3H]DEX from human glucocorticoid receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156190";"1";"Scientific Literature";"J. Med. Chem.";"2010";"None";""
"CHEMBL7843";"";"0";"405.49";"1";"5.77";"14";"C=CCC1Oc2ccc(C(=O)OC)c(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3";"Ki";"'='";"2.8";"nM";"8.55";"";"";"UO_0000065";"21.09";"0.39";"2.78";"15.06";"0";"CHEMBL1106116";"Displacement of [3H]DEX from human glucocorticoid receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156190";"1";"Scientific Literature";"J. Med. Chem.";"2010";"None";""
"CHEMBL1090801";"";"0";"388.47";"1";"5.84";"5";"C=CC[C@@H]1Oc2ccc(OC#N)c(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3";"Ki";"'='";"51.0";"nM";"7.29";"";"";"UO_0000065";"18.77";"0.34";"1.45";"11.48";"0";"CHEMBL1106116";"Displacement of [3H]DEX from human glucocorticoid receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156190";"1";"Scientific Literature";"J. Med. Chem.";"2010";"None";""
"CHEMBL583859";"";"0";"403.50";"1";"5.20";"34";"C[C@@](O)(c1ccccn1)[C@H]1CCCC2=Cc3c(-c4ccc(F)cc4)ncn3C[C@@]21C";"Ki";"'='";"31.0";"nM";"7.51";"";"";"UO_0000065";"18.61";"0.34";"2.31";"14.74";"0";"CHEMBL1039873";"Displacement of GS-red from human glucocorticoid receptor by fluorescent polarization assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156812";"1";"Scientific Literature";"J. Med. Chem.";"2010";"None";""
"CHEMBL569044";"";"0";"408.54";"1";"5.86";"40";"C[C@@](O)(c1ccsc1)[C@H]1CCCC2=Cc3c(-c4ccc(F)cc4)ncn3C[C@@]21C";"Ki";"'='";"1.0";"nM";"9.00";"";"";"UO_0000065";"22.03";"0.42";"3.14";"23.65";"0";"CHEMBL1039873";"Displacement of GS-red from human glucocorticoid receptor by fluorescent polarization assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156812";"1";"Scientific Literature";"J. Med. Chem.";"2010";"None";""
"CHEMBL396253";"";"0";"347.42";"0";"2.65";"34";"O=c1[nH]c(N2CCC(c3ccccc3)C2)c(Cc2ccccc2)c(=O)[nH]1";"Ki";"'='";"47.0";"nM";"7.33";"";"";"UO_0000065";"21.09";"0.38";"4.68";"10.63";"0";"CHEMBL890428";"Displacement of [3H]dexamethasone from human recombinant GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146208";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL398171";"";"0";"395.89";"0";"3.69";"17";"O=c1[nH]c(N2CCC(c3ccccc3)CC2)c(Cc2ccccc2Cl)c(=O)[nH]1";"Ki";"'='";"8.7";"nM";"8.06";"";"";"UO_0000065";"20.36";"0.39";"4.37";"11.69";"0";"CHEMBL890428";"Displacement of [3H]dexamethasone from human recombinant GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146208";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL389766";"";"0";"389.50";"0";"3.12";"4";"Cn1c(=O)[nH]c(N2CCC(Cc3ccccc3)CC2)c(Cc2ccccc2)c1=O";"Ki";"'='";"24.0";"nM";"7.62";"";"";"UO_0000065";"19.56";"0.36";"4.50";"13.11";"0";"CHEMBL890428";"Displacement of [3H]dexamethasone from human recombinant GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146208";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
